№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
45&f9003ea1026144ada02fe9d565df5c3b&	Я понимаю что еще немного и у меня окончательно не будет хватать сил а впереди еще столько всего &[['грусть']]&100.0&TarasenkoAA
46&9c73f37ecd3f47789c89fd82c090c623&	 Терпеть не могу  &[['гнев', 'отвращение']]&70.71&TarasenkoAA
47&9614d4f24c26468b8f492d18cfa69d3c&	Liebe das zweite Foto von dir  deine Körperhaltung ist so on point  &['Ни одного']&100.0&TarasenkoAA
48&7ff30b50d29043598129443182bae5f9&	Не верится , что Квинси больше не сыграет за Спартак . . .&[['грусть']]&0.0&TarasenkoAA
49&5468e760c655490796d81427013aaa2b&	 Простуда не повод не работать .   # найтигероя  &[['грусть']]&0.0&TarasenkoAA
50&e5bf38adf18440fbaa3fc83b10049f30&	Всем утречка  pictwittercomkUUqfnkYl&[['счастье']]&0.0&TarasenkoAA
51&1aaca924bed84fc380ed46879d85349d&	блин тупое аниме как же я тебя ненавижу &[['гнев', 'отвращение']]&70.71&TarasenkoAA
52&8c57169017804f8d8fd2ed1e5067c91b&	Мерзко узнавать все это Лучше бы дальше верила , что это хороший человека не гниль дохлая&[['гнев', 'отвращение']]&70.71&TarasenkoAA
53&0142b862a8ec49dcb406483974dcaa0b&"	Мне понравилось видео "" Be Fit or Be Sick "" ( ) на YouTube ."&[['спокойствие']]&0.0&TarasenkoAA
54&df5fefe1afb048b99af0ce5ab99973fa&	какие красотки&[['удивление']]&100.0&TarasenkoAA
55&697ec6b8c8c94b75922d71e52390f5fa&	 Слишком день быстро прошел Люблю люблю люблю  pictwittercomeRDyiPb&[['счастье']]&100.0&TarasenkoAA
56&c13c109dfb824bf585348516853a283c&	вдруг меня посадят &[['страх', 'грусть']]&70.71&TarasenkoAA
57&d648581ad4e1484fa222a03c9b09e789&	moonseya Ретвитнул ( а ) IA &['Ни одного']&100.0&TarasenkoAA
58&55ba20c552f64da2b3654a42c5c97009&	На выходные уйду со спокойным сердцем &[['спокойствие']]&100.0&TarasenkoAA
59&d98879d7ca0b4377a182a40730f49776&	Нет спорить не будем . . . &[['спокойствие']]&100.0&TarasenkoAA
60&6ace8333b7d14eb1b42afee4f5939c3a&	Посмтрите этот фильм , АТВИЧАЮ , не пожалеете Наханьыаста , якуССкие фильмы олох качественнай буолбуттар А саундтреки кто ВАЩЕ отдельная тема А так сылдьыах буолан&[['счастье']]&100.0&TarasenkoAA
61&fcedae516eb2463ca9afa8bfc03c6d59&	Сегодня в което веки одноклассники признали кпоп Я НАКОНЕЦ ТО ДОБИЛАСЬ ЭТОГО ААААА я действительно счастлива Знаете что им больше всего понравилось ?&[['счастье']]&100.0&TarasenkoAA
62&0db93a8118924216be9c38b94ac8605b&	Спасибо&[['спокойствие']]&100.0&TarasenkoAA
63&2c944f6fe4fa4771a12027013c66d2ee&	     Очень жаль , что это было давно ( ( (&[['грусть']]&100.0&TarasenkoAA
64&b7ccb6e73b094dceb6ccc95ab96d71be&	Ну что ) Сегодня пасха , всез поздравляю &[['счастье']]&0.0&TarasenkoAA
65&9ec91e6b228c4bc3894d8cfe7f01cf5f&	＄= ¥ < _+ ＄ \＿ +&['Ни одного']&100.0&TarasenkoAA
66&82630f07543b4cedb23bc69b82fc6672&	Заболела , а денег на лекарства нет почему Артур с Хоббитом не могут мне вернуть мои деньги&[['грусть', 'гнев']]&70.71&TarasenkoAA
67&c9cf65bda2ae4f84bf693626a60cfd52&	Опять не так &[['грусть']]&100.0&TarasenkoAA
68&20c01024cb8d4c5aa52ae872b41669eb&	сейчас по пляжу гуляла пара . обычный мужчина и женщина ну прям очень объемная ( кг  точно ) . ей даже идти тяжело️ я&[['отвращение', 'удивление']]&70.71&TarasenkoAA
69&c6127bb620f847118797369209bd32d3&	моя подруга поступает со мной потому что хочет чтобы мы были вместе если это не настоящая дружба то что &[['счастье']]&0.0&TarasenkoAA
70&daa74736a4804f4b97ab2d4237558e58&	Я вернулась , но не надолго !  Проверю- как вы тут , не ссоритесь или не ругаетесь ! ?&[['спокойствие']]&0.0&TarasenkoAA
71&73239a8bb2344b40bb4a50e620ff1265&	Встретил сегодня TFestNews у себя на райчике &[['удивление']]&0.0&TarasenkoAA
72&27264411831743f4bf68564b7c8f94e7&	Неожиданно &[['удивление']]&100.0&TarasenkoAA
73&37edb7c370bc4ee5bc6c447d9a490a66&	Вдома &['Ни одного']&100.0&TarasenkoAA
74&41e0a9b947fe45b6af02bb63f3f173f6&	 дальше , чем вижу самая эффективная диета , девочки , советую&[['счастье']]&0.0&TarasenkoAA
75&14c2a2f50ecf41859de0f2e9851b8ff7&	Рили ?&[['удивление']]&100.0&TarasenkoAA
76&8f813c00d6e24220bd844762568812b3&	Давайте поздравим ее все ! &[['счастье']]&100.0&TarasenkoAA
77&fad0bacb8efc45a9bc976611b390ca75&	Всм  ?&[['удивление']]&100.0&TarasenkoAA
78&fef305f708f0435eb17be0b6db847296&	Фаак , как же плохо &[['грусть']]&0.0&TarasenkoAA
79&ae152d82deea4828a1ffd3862d2775bc&	Когда за тобой сидит класуха ! !  PS училка полная Жопа в прямом смысле ЖОПА ! ! &[['отвращение']]&100.0&TarasenkoAA
80&5b0e472f09f5474cabdc2a4fa4c6cdce&	Про кого это так ? &[['удивление']]&100.0&TarasenkoAA
81&156ef6733940403b81d3bea0c1bd50d2&	То чувство когда ктото обиделся на меня изза какойто фигни &[['грусть']]&0.0&TarasenkoAA
82&be157c200a1e4e7688a8d6517d4e3ae6&	Lora IvaN Ретвитнул ( а ) Swiss  Vatnik&['Ни одного']&100.0&TarasenkoAA
83&f8d4601fb2d1409c83bad1db4344c85f&	 я еще маленькая для такого ) ) &[['спокойствие']]&0.0&TarasenkoAA
84&ef5cc7fe12da4b5f98980446a6205b1f&	Айка , я сто раз сдавала бы итоговое сочинение , чем блять это гребаное сочинение по ЕГЭ &[['гнев']]&100.0&TarasenkoAA
85&1217ddbd548546c39c68d454caba1adb&	Сегодня сплю спокойно  pictwittercomsDkdL&[['спокойствие']]&100.0&TarasenkoAA
86&e37b6cdcde1942688d8ff4572f88ff39&	Или мне кажется . ? ?  pictwittercomHgkVgvvI&[['удивление']]&100.0&TarasenkoAA
87&74795b1ab6bc477692cf1c1750990fb4&"	"" Время покажет "" пригласили этого демагогану и ну"&[['отвращение']]&0.0&TarasenkoAA
88&82a61c897dba4df69103fcf62d57e695&	Да что вообще можно нормально сделать в такое время ?       # какяневыспалась # беситвсе&[['грусть', 'гнев']]&0.0&TarasenkoAA
89&6d20ccbe143f42f195a84efce7633877&	Не за что ) Обращайся&[['спокойствие']]&100.0&TarasenkoAA
90&758c687d20a242d9be27fecafb344de5&	Почему я не умер ?  pictwittercomjshHdvfUOr&[['грусть']]&100.0&TarasenkoAA
91&4125acd1b918404687f211b2410cb38f&	Он воскрес ! &[['счастье']]&100.0&TarasenkoAA
92&cd01f1d0dba745c18067c89a1df0f459&	Бывает состояние , когда хочется написать завещание  &[['грусть']]&0.0&TarasenkoAA
93&9682e01b54ca45f5a6050accc2bd3e51&	Е мое кто тебя так ? ? ?&[['удивление']]&100.0&TarasenkoAA
94&f7cb651bc49146e68ea2fabfd5ff9f90&	ужас &[['страх', 'грусть']]&70.71&TarasenkoAA
95&0d3d7c5d88004561a1559212409d3161&	 И продолжаем о здоровье спортсменов . . .&[['спокойствие']]&100.0&TarasenkoAA
96&e6d0c5b365c547fd9e31c0eec9ea8266&	За исключением моего севшего голоса и кашля &[['грусть']]&0.0&TarasenkoAA
97&b996ddbf95724c4db2b6f841ba6d5003&	Папе до дочки дела нет совсем &[['грусть', 'гнев']]&70.71&TarasenkoAA
98&8782e9af6ec54f8cb778ec71bc9ff44b&	Все крч ебок , вышел сухой из воды , мусара сосут хуй , дело замяли даже штрафа не будет , счастья полные штаны &[['счастье']]&100.0&TarasenkoAA
99&52bd65b7cd6c46e787c2a84c49268a8b&	маша blyatPopov : опять записывает видосы я :        &['Ни одного']&100.0&TarasenkoAA
100&1ac7b5a4f43c47e1a918b988bd134dd0&	Серъезнооооо &[['удивление']]&100.0&TarasenkoAA
101&dd95eb61a9a74fb2b64f33c082a39999&	Я помню как первого сентября на тебя подписался &[['спокойствие']]&100.0&TarasenkoAA
102&8ec1fce3d82a44edb121cd69cd65030e&	Где можно глянуть видос выступления ?&[['спокойствие']]&0.0&TarasenkoAA
103&8d85ed51112c437ca2758c3517c337d8&	Айакка , я тоже хочу сигналить и орать РОССИЯ   но надо спать , завтра работа &[['грусть']]&0.0&TarasenkoAA
104&38cc112d207140a39539505fa95cd1d3&	Харьков город шлюх , наркотиков , и девочек за деньги &[['отвращение']]&100.0&TarasenkoAA
105&bcf1b778b8b34fd6869a5712e6aa89e0&	VkookaKn добралась до моих сохр как неожиданно  pictwittercomMNHFQDg&[['удивление']]&100.0&TarasenkoAA
106&3af367af26e14d8bac6c5ff27af65846&	А Украина Вам доверяла ! . .  pictwittercomJbjRJtYT&[['грусть']]&100.0&TarasenkoAA
107&a14eeeab7fd44c4aba405fda092f966a&	Не забирай его . . .  # истерика&[['грусть']]&0.0&TarasenkoAA
108&b287c59633a64b0e886d4a87b5ea0be8&	Так всегда Когда удается нормально накраситься , а планы на вечер отменяются  ) Одно радует хоть по дому красивая похожу  pictwittercomTTtqJfM&[['грусть', 'счастье']]&0.0&TarasenkoAA
109&31efecf7c47940f293251f8eda70ec21&	Не похоже &['Ни одного']&0.0&TarasenkoAA
110&c32c80317f3643a8a3a34e6460299ec5&	И тут оказывается что он ставит   Это вообще как ? &[['гнев', 'удивление']]&70.71&TarasenkoAA
111&afe31ec4575342d489eee0c837417040&	ЭТИ РУКИ ГОСПОДИ # JungkookpictwittercomWDyEUfl&[['счастье']]&0.0&TarasenkoAA
112&c77a4a288eef4de7a3a54a1903d9609b&	И я опять попала под дождь После практики занималась уборкой .&[['грусть']]&100.0&TarasenkoAA
113&1db543e558d9488c840f738bbae0cf26&	кродеться ну сколько модно&[['гнев']]&100.0&TarasenkoAA
114&f6528356d745455eadabefa9f6b34d6d&	бля я нашла эту фотку &[['счастье']]&0.0&TarasenkoAA
115&897f6b3411384ea18e3e6b6adc93095c&	спасибо ЗАЕЧКА &[['спокойствие']]&0.0&TarasenkoAA
116&9c800f75813f40fabd7c1a96389fbc15&	Ххх , ночки   Вот ты говоришь улыбаться , а я улыбаюсь не всегда , но зато пытаюсь измениться и во всем искать позитив&[['спокойствие', 'счастье']]&70.71&TarasenkoAA
117&81d0cfee0fe7492aa257b3651a797313&"	"" каждый имеет право на кусочек жизни , о котором не будет знать вообще никто . "" # многосекретов "&[['спокойствие']]&100.0&TarasenkoAA
118&de4d482e5713400abb4cb51c98cf5cda&	 я думала парные оформы это типо одинаковые у двух длюдей оформы . но нет . это прикольно ( я тоже так хочу ) buhoyboypictwittercom&[['счастье', 'удивление']]&70.71&TarasenkoAA
119&9d1c6b452add4326a4ccc462ad1f961e&	Мне вот не очень часа два уснуть не могла да еще и заболела  а мне болеть нельзя  pictwittercomUHIMjcjBqh&[['грусть']]&100.0&TarasenkoAA
120&cd4d6614ff05493596b0109c108a956b&	Че за мода пошла в Питер переезжать , заебали &[['гнев']]&100.0&TarasenkoAA
121&3fdeaa2ffa2e479a8054dcb33ff3bb2d&"	Кто честен - убивают , кто постоянно врет , причем на всю страну - жируют суки . . "" патриоты "" ️"&[['гнев']]&0.0&TarasenkoAA
122&9cf93cb30d7e420cb13d296feecad4e4&	меня не меньше  послесловие очень тронуло и прям захотелось перечитать огни &[['спокойствие']]&0.0&TarasenkoAA
123&607b113ad22046c7840984f0a63f1e24&	Не успела парня завести , а уже бросили . &[['грусть', 'гнев']]&0.0&TarasenkoAA
124&bc6aa804bdc4458a93c7539a04966354&	Не знаю , что делать Я в отчаянии Ветеринарок тут нет совсем  pictwittercomNHUzfITVnE&[['грусть']]&100.0&TarasenkoAA
125&1d34b131fc6a4cd3bef51dfd6acaef9e&	Такая же херняяяя  &[['грусть']]&100.0&TarasenkoAA
126&c036f83553244b6ba9f82c25e49e4f82&	Когда моль красивее тебя  pictwittercomBzhKs&[['грусть']]&0.0&TarasenkoAA
127&bff56af496d648878ab35da748e0e6cb&	вообще денег нееетт чтобы купиитьььььььь себе пожраааатттььь такой еды &[['грусть']]&0.0&TarasenkoAA
128&845cc6131a3b43489412f2e17373b776&	Фотка вообще подходящая &[['спокойствие']]&100.0&TarasenkoAA
129&57322973ebd04a5aba90d5fac56f46ac&	ТЫ - уникальная Личность ! &[['счастье']]&0.0&TarasenkoAA
130&db2b4e33358f424d9b9b5543a356dcc8&	А вот и фоточки с похода подъехали  Классно мы подурачились и ноги стоптали в ноль  Мне попалась самая экзгибеционистская компашка , потому что&[['счастье']]&100.0&TarasenkoAA
131&412ab425f31d4043a9e3d01a8636b98f&	Сегодня даже желание жить есть ( ахуеть ) &[['счастье', 'удивление']]&70.71&TarasenkoAA
132&b90819e6890b4cc8bef7cb76345f0d6e&	Иногда сделаешь такую мелочь а так на душе хорошо такое умиротворение . &[['спокойствие', 'счастье']]&70.71&TarasenkoAA
133&e2907827783a43b79daddf35061531e3&	Надеюсь , хоть комуто понравится  pictwittercomclbpdHcM&[['грусть']]&0.0&TarasenkoAA
134&f283ead0f9e94c0799d728674a86d2d3&	Котик , я скучаю за твоими сэлками  pictwittercomDfmGBdVgy&[['грусть']]&0.0&TarasenkoAA
135&bed52330a22d410da88d202a1b2ebbb4&	чтооо  божечки поздравляю тебя ! ! !&[['счастье', 'удивление']]&70.71&TarasenkoAA
136&264ede8d3efb4d699944ad2f584a5a0d&	его уже и так нет - только бумажка ( справка ) &[['грусть']]&0.0&TarasenkoAA
137&2c6186d2cd47420b98dff3711a2ff763&	На самом деле  португалец справедлив и не идет на конфликт просто так  pictwittercomWYjaWOj&[['спокойствие']]&100.0&TarasenkoAA
138&e2148cd3663c4166a8d3edc9bc228295&"	Эх . . . не дожил Маккейн до сегодняшнего "" светлого праздника "" , но дело его живет и похоже побеждает ! ! ! "&[['грусть']]&0.0&TarasenkoAA
139&eac4d16582b148daa93c0b935de20895&	Жена Тукки | # ИтукОжидаетМонстуВРоссии  Ретвитнул( а ) сиêэн &['Ни одного']&100.0&TarasenkoAA
140&fad81986201f4945af6d2445f6bbb964&	Панорамушка , не могли бы вы передать эти сведения непосредственно Терезе Мэй , уж будьте так любезны ) ) ) &[['спокойствие']]&100.0&TarasenkoAA
141&513cf630b20c44c39957c5d1af94863f&	Так жалко котика  Такой классный мем&[['грусть']]&100.0&TarasenkoAA
142&ddae3ad6d80144fdbd12bc28d28f9d6d&	ну почему именно в такой важный момент у меня появились эти гребаные сомнения️&[['грусть', 'гнев']]&70.71&TarasenkoAA
143&8d3fccab1f7d4abb82786dce35c03ce3&	Природа не наградила &[['грусть']]&0.0&TarasenkoAA
144&d977aef55d6447489ce63e899ddc2b0e&	уже Новый год на этой неделе , а на следующей неделе уже  , потом через недельки  мне исполнится  лет &[['спокойствие']]&0.0&TarasenkoAA
145&0e06a89710664463be0295ee564b1c02&	Ты очень красивая ️️️&[['спокойствие']]&0.0&TarasenkoAA
146&9e2360ad2c5f486b84a76d2840001828&	До вечера !  pictwittercomXxexBSmdu&[['спокойствие']]&100.0&TarasenkoAA
147&d0df08fb00df4b7c8475bbda4b30c255&	Сегодня куча дел , просто по всему городу буду мотаться я буду нереально крутой , если все успею .&[['счастье']]&100.0&TarasenkoAA
148&2aa06f40013d47bf80421895f10cb454&	У меня летние каникулы начинаются с  июля&[['грусть']]&0.0&TarasenkoAA
149&c7fcc67a2051417199a0ce8f1808e5f1&	  :  , и прошло только пол часа матча  # РоссияЧехия&[['удивление']]&100.0&TarasenkoAA
150&fc080eac01a14ff3a73e8c10719f7330&	Сегодня был самый страшный сон . . . &[['грусть']]&0.0&TarasenkoAA
151&5355488b056a41bd875996dbef65af31&	Хотя у подруги еще хуже адски выпадают , а от краски или хны отек Квинке&[['грусть', 'удивление']]&0.0&TarasenkoAA
152&f03f23174a624612a79125b93444ef9d&	Ждем&[['спокойствие']]&0.0&TarasenkoAA
153&752bd81b489447ab8d39abe539a3939f&	фигу ) ) они просто знают где безопасней и где кормят чаще&[['спокойствие']]&100.0&TarasenkoAA
154&eee4fbf8755e4d62900bd0b2b5d8d148&	Ой девочки  спасибо за доверие я не подведу        YağHaz # Yağız # ÇağlarErtuğrul # AfraSaraçoğlu Ece&[['счастье']]&0.0&TarasenkoAA
155&f0846c2b8af34b02bf7454ebdb2bd5dc&	Тоже надеюсь , что все будет хорошо &[['грусть']]&0.0&TarasenkoAA
156&7aa3cd736d434cab9495d9b827ae9406&	Действительно нравится ЭТО ? &[['удивление']]&100.0&TarasenkoAA
157&b519eaabe9044af7b0969bb4852f7d1f&	 ты какаска .&[['спокойствие']]&100.0&TarasenkoAA
158&d238394f50ae421aa5608172f25c078b&	jonathanorrico &['Ни одного']&100.0&TarasenkoAA
159&4e22532f849a4241987de43996d44f98&	Заберите меня с пааар&[['грусть']]&0.0&TarasenkoAA
160&5c20412cecdd4072a1476c7af70f4a1b&	Сцука , на ваших руках столько смертей , не вам судить , хотя вы поддерживаете террористов , коими являетесь сами !&[['грусть', 'гнев']]&70.71&TarasenkoAA
161&83eb3bb2300a4166b23ef4afa9131465&	Фига да ? ? &[['удивление']]&0.0&TarasenkoAA
162&ebf9f19217524e66a4c9777fa490255b&	@lindabinda_&['Ни одного']&100.0&TarasenkoAA
163&8cc95390017344b7b05c17730c253e6a&	Оденусь потеплее и по тепаю в # колледж  &['Ни одного']&0.0&TarasenkoAA
164&aa9a45cd95aa4a5d88f3c45acd585d56&	Не надо плакать , ты чтооо️️️️️&[['грусть', 'удивление']]&70.71&TarasenkoAA
165&85e9fb88bfcf4ce6943631c91cc2110e&	Ебать ДВА БАЛЛА ахренеть не встать  ты надеюсь учишься на отлично ?&[['удивление']]&100.0&TarasenkoAA
166&d8c371118a914fb6b7fa10af48af0d5a&	боже влюбилась в эмоджи &[['грусть', 'удивление']]&0.0&TarasenkoAA
167&c5af1d4d0a164326820e645646d1147d&	Когда ты не знаешь , что будет делать Ксюша , и хочешь , чтобы у Ксюши и Леши было все ХОРОШО ! ! ! &[['спокойствие']]&100.0&TarasenkoAA
168&145f226155ba43e4b5b8f7d148dac619&	Сүрлэг өндөр Алтай минь ээ pictwittercomXmFMmtEPB&['Ни одного']&100.0&TarasenkoAA
169&240f318514b84d458fbef1bb1024bc28&	Ооо выздоравливай &[['спокойствие', 'удивление']]&70.71&TarasenkoAA
170&66023a08c4784523908f2dbd6c0de29a&	Намджуууун С днем рождения !&[['счастье']]&100.0&TarasenkoAA
171&a0ecb7dae8864512844cdf207aeb2699&	Любимый племянник&[['спокойствие']]&100.0&TarasenkoAA
172&48ced234df644c7fa55cd054d7c7f61e&	Я настолько постарела или мне так лень , что гулять не хочется и вообще хочу только лежать в мягкой постели , и смотреть фильмы &[['грусть']]&100.0&TarasenkoAA
173&c946a85d52aa4423a14460b8a8750689&	Тошнит от себя &[['грусть']]&0.0&TarasenkoAA
174&343c70c0b9444275aaa851e5a11db749&	Смотри мне &[['спокойствие']]&100.0&TarasenkoAA
175&4576cd281b3e424f9f22fd94fa3b1bea&	Вы проспали ?&[['удивление']]&0.0&TarasenkoAA
176&b2634690b7f447489cbf00154066af8c&	Для меня это редкостная гадость&[['отвращение']]&100.0&TarasenkoAA
177&03855a4dd630410d870e50f6ca9d2e3e&	сейчас получу двойной пизды&[['грусть']]&0.0&TarasenkoAA
178&6700639662be4e47b16d032f56e84ebe&	Все бы отдала , чтоб вернуть бабушку с дедушкой     стоит мне о них только напомнить , так моя истерика может длиться&[['грусть']]&100.0&TarasenkoAA
179&403f30ec13924ba6a6c6cee9d86bace9&	Я тоже хочуууууууууу&[['счастье']]&0.0&TarasenkoAA
180&11ee27ffb24546209d572d4a80b5f28a&"	ОООО СЕГОДНЯ ВЫХОДИТ "" ДЕТСТВО ШЕЛДОНА ""  НА PARAMOUNT COMEDY посмотрю посмотрю посмотрю"&[['счастье']]&100.0&TarasenkoAA
181&c46ef2799b7d44a39d33db24372783e5&	Посылаю лучи добра всем метеозависимым  друзья , я с вами&[['спокойствие']]&0.0&TarasenkoAA
182&18e6c8fa31f64459a64a5d8968f84810&	Еще неделька такой херни и у меня появится полное отвращение к детям&[['гнев', 'отвращение']]&100.0&TarasenkoAA
183&41fb4aa7bcc848fe9bc4ef48869fe0a2&	Great Trango Tower &['Ни одного']&0.0&TarasenkoAA
184&cca0d4173c444759873df7343289b418&	А как же моральная подготовка &[['спокойствие']]&100.0&TarasenkoAA
185&81901c1ee4034f429052e906cc5fe51a&	Последний месяц лета остался Нееееееееееет , я хочу первое июня вернуть&[['грусть']]&100.0&TarasenkoAA
186&5db6a3cafdbc4ad58be3dac59df823b7&	 Neko Yorily ° розовый салатик  Ретвитнула ) astrology lovers&['Ни одного']&100.0&TarasenkoAA
187&1405b9acd82c4a7480a54fdd36a38744&	Подазрительна &[['спокойствие']]&100.0&TarasenkoAA
